"permutations";"#UUIDs";"#classes";"#clone_configs"
"11_5_12_16_6_14_4_2_3_13_10_1_7_15_8_9";"11230";"5";"114"
"15_2_10_1_16_9_5_3_4_13_11_8_14_12_7_6";"11191";"5";"114"
"13_6_10_15_5_11_14_2_16_8_7_3_1_9_4_12";"11322";"5";"114"
"3_4_10_12_11_8_1_5_7_15_13_6_16_9_14_2";"11532";"6";"114"
"14_4_3_16_12_2_10_15_5_7_13_11_8_6_1_9";"11315";"5";"114"
"13_15_12_3_16_6_4_9_8_14_2_5_10_1_7_11";"11238";"5";"114"
"14_9_13_16_15_10_1_2_12_8_7_5_3_11_4_6";"11168";"5";"114"
"9_2_15_4_11_10_16_3_14_13_8_5_6_1_12_7";"11266";"5";"114"
"7_4_11_9_16_1_6_13_14_5_3_8_15_2_12_10";"11273";"5";"114"
"12_11_7_16_10_1_9_15_6_14_13_8_3_2_4_5";"11255";"5";"114"
"2_9_14_10_16_3_7_11_15_5_6_1_4_8_12_13";"11330";"5";"114"
"1_13_9_8_3_10_5_2_14_16_15_11_7_4_12_6";"11261";"5";"114"
"15_4_11_8_5_7_13_12_3_6_1_2_9_10_16_14";"11234";"5";"114"
"6_12_5_4_13_8_7_14_3_16_10_2_9_1_15_11";"11268";"5";"114"
"8_12_13_5_2_6_9_11_1_10_3_15_7_4_14_16";"11245";"5";"114"
"12_10_6_16_3_13_1_11_4_8_9_7_5_2_14_15";"11443";"5";"114"
"14_11_9_5_13_1_12_8_15_4_3_6_10_16_7_2";"11204";"5";"114"
"1_6_3_11_2_15_5_16_7_14_4_12_10_9_8_13";"11262";"5";"114"
"3_16_1_14_11_9_6_5_10_13_2_12_4_15_7_8";"11209";"5";"114"
"8_15_10_13_7_3_5_14_11_9_1_2_6_16_12_4";"11276";"5";"114"
"5_7_3_14_16_9_11_4_12_8_15_2_6_1_10_13";"11282";"5";"114"
"2_6_8_11_5_9_4_15_13_7_16_12_1_14_3_10";"11352";"5";"114"
"6_4_3_14_13_11_9_10_1_2_12_5_8_7_15_16";"11414";"5";"114"
"5_6_14_4_12_10_9_1_3_11_15_7_16_8_2_13";"11317";"5";"114"
"4_2_7_3_10_15_13_1_8_14_5_6_16_9_12_11";"11495";"5";"114"
"3_16_8_13_15_7_6_4_2_9_1_11_5_12_14_10";"11270";"5";"114"
"10_16_9_11_4_6_15_3_1_2_14_5_13_12_7_8";"11241";"5";"114"
"11_6_1_2_15_10_8_16_3_4_13_14_7_9_5_12";"11273";"5";"114"
"13_3_10_8_16_12_6_15_4_9_2_1_14_7_5_11";"11394";"5";"114"
"5_15_8_12_7_2_10_16_6_14_3_4_13_1_9_11";"11223";"5";"114"
"9_5_16_3_1_8_10_11_2_14_12_6_4_15_7_13";"11283";"5";"114"
"2_11_5_15_10_16_3_7_4_9_14_12_13_6_1_8";"11525";"5";"114"
"12_15_9_13_4_10_14_2_11_3_1_5_6_8_16_7";"11228";"5";"114"
