"permutations";"#UUIDs";"#classes";"#clone_configs"
"2_13_10_14_8_4_7_16_5_12_1_9_3_11";"12719";"2";"28"
"14_15_2_11_13_1_9_3";"12272";"2";"16"
"1_4_10_11";"11398";"2";"8"
"2_4_1_7_11_13_3_15_5_12_16";"12192";"2";"22"
"16_14_4_5_10_9_6_2_3_1_11_7_12_13_15";"12349";"2";"30"
"1";"6050";"0";"0"
"1_6_9";"9189";"0";"0"
"13_5_1_11_4_10";"11498";"2";"12"
"9_13_5_8_1_3_2";"11484";"2";"14"
"12_11_2_15_1_13_8_16_10_14";"12584";"2";"20"
"1";"6050";"0";"0"
"13_5_6_1_8_11_7_10_14_4_16_15";"12361";"2";"24"
"6_10_13_11_5_1_12_9_3_15_8_7_16_14_4";"12360";"2";"30"
"8_12_13_7_9_10_3_1_5";"12038";"2";"18"
"9_6_1_2_12_5_13_16_8_10";"11802";"0";"0"
"9_14_12_1_3_5_16";"12409";"2";"14"
"4_1_11_2_3_6_7";"11724";"1";"14"
"1_12";"11131";"0";"0"
"3_8_12_13_2_1_14_16_15_10_9_7_6_11_5";"11629";"1";"30"
"9_6_12_4_1_11_5_16_3_10_7_8_2_13_14";"12109";"2";"30"
"10_2_15_3_11_14_7_9_5_1_4_12";"12615";"2";"24"
"1_4_14_16";"11993";"2";"8"
"7_12_15_13_3_1_9";"11830";"2";"14"
"3_2_12_13_11_14_7_9_10_1_5_15";"11894";"1";"24"
"2_3_1_7_15_9_10_6_16_4";"12143";"2";"20"
"11_4_1_3_9_13";"11627";"1";"12"
"2_3_6_9_8_11_5_1_4";"11999";"2";"18"
"6_14_1_3_4";"11381";"2";"10"
"1_11_12_16";"11620";"2";"8"
"2_7_3_16_9_8_1_14";"12701";"2";"16"
"8_6_13_15_1_12_7_16_4";"11677";"2";"18"
"5_3_1_16_11_9_15_13_8_14_10_6_12";"11863";"2";"26"
"4_14_8_11_9_1";"11444";"1";"12"
"1_3_6_13_8_7_16_15_4_9_2";"11947";"2";"22"
"15_16_1_10_13";"9843";"0";"0"
"13_4_8_16_14_1";"12021";"2";"12"
"5_13_14_1_16_4_3_12_7";"12124";"2";"18"
"11_1";"10373";"1";"4"
