"permutations";"#UUIDs";"#classes";"#clone_configs";"Runtime ss";"Memory Consuption"
"clone_model_0";"02,333";"659252864"
"clone_model_1";"02,350";"1341881272"
"clone_model_2";"02,343";"960579736"
"clone_model_3";"02,345";"245348768"
"clone_model_4";"02,256";"862358512"
"clone_model_5";"02,336";"261716848"
"clone_model_6";"02,267";"911856208"
"clone_model_7";"02,247";"326648048"
"clone_model_8";"02,374";"1029444248"
"clone_model_9";"02,471";"613722832"
"clone_model_10";"02,244";"1477572224"
"clone_model_11";"02,378";"1284947672"
"clone_model_12";"02,334";"835384664"
"clone_model_13";"02,269";"1180917224"
"clone_model_14";"02,216";"662894800"
"clone_model_15";"02,330";"342759312"
"clone_model_16";"02,293";"1227872768"
"clone_model_17";"02,342";"940738608"
"clone_model_18";"02,374";"721622256"
"clone_model_19";"02,308";"422704232"
