permutations;#UUIDs;#classes;#clone_configs;Runtime ss;Memory Consuption
clone_model_0;1,05;913482408;;;
clone_model_1;1,071;559686472;;;
clone_model_2;1,049;1289445504;;;
clone_model_3;1,066;975445880;;;
clone_model_4;1,076;663407736;;;
clone_model_5;1,058;335907472;;;
clone_model_6;1,091;1144255856;;;
clone_model_7;1,043;678190808;;;
clone_model_8;1,131;370891336;;;
clone_model_9;1,154;1081857344;;;
clone_model_10;1,135;635380200;;;
clone_model_11;1,155;1435103008;;;
clone_model_12;1,158;1028172584;;;
clone_model_13;1,162;585248368;;;
clone_model_14;1,095;1336785384;;;
clone_model_15;1,161;927764640;;;
clone_model_16;1,061;410817784;;;
clone_model_17;1,042;1100527408;;;
clone_model_18;1,087;720320936;;;
clone_model_19;1,031;1458085376;;;
;1,096105263;1458085376;;;
