"permutations";"#UUIDs";"#classes";"#clone_configs";"Runtime ss";"Memory Consuption"
"clone_model_0";"01,873";"371148392"
"clone_model_1";"01,913";"1424951240"
"clone_model_2";"02,129";"1065960160"
"clone_model_3";"01,984";"1128351144"
"clone_model_4";"01,986";"1120924096"
"clone_model_5";"01,932";"1234303528"
"clone_model_6";"01,968";"1345873088"
"clone_model_7";"01,799";"1178173912"
"clone_model_8";"01,957";"1226214392"
"clone_model_9";"02,024";"1254306432"
"clone_model_10";"01,862";"1185815368"
"clone_model_11";"01,881";"1230616128"
"clone_model_12";"01,936";"778651552"
"clone_model_13";"01,901";"686756888"
"clone_model_14";"01,881";"496278248"
"clone_model_15";"01,834";"363476488"
"clone_model_16";"01,918";"1404182352"
"clone_model_17";"01,923";"1275031312"
"clone_model_18";"01,895";"1076662336"
"clone_model_19";"01,786";"875575776"
