"permutations";"#UUIDs";"#classes";"#clone_configs"
"5_11_15_1_4_8_12_7_2_9_14_13_6_10_3_16";"11800";"2";"32"
"16_9_8_2_7_12_5_3_4_10_13_11_14_1_6_15";"12255";"2";"32"
"1_12_6_4_15_9_7_16_8_14_11_2_10_5_13_3";"12469";"2";"32"
"11_5_4_16_15_12_7_9_10_14_8_13_3_2_6_1";"11696";"1";"32"
"2_1_13_11_3_9_16_7_14_10_5_12_6_4_8_15";"12164";"2";"32"
"3_5_9_8_6_16_11_12_4_2_7_14_15_10_13_1";"11397";"1";"32"
"1_16_10_8_7_2_3_9_15_13_12_11_6_14_4_5";"12425";"2";"32"
"11_5_10_2_4_15_13_8_14_3_9_1_7_6_16_12";"11745";"1";"32"
"2_3_5_1_4_8_11_10_16_13_12_9_6_7_15_14";"11872";"2";"32"
"11_7_1_8_3_16_9_4_10_6_2_15_5_13_12_14";"11702";"1";"32"
"10_12_15_1_7_4_5_13_14_9_8_6_2_16_3_11";"12483";"2";"32"
"15_16_6_7_8_11_10_9_5_12_1_2_4_3_13_14";"12012";"2";"32"
"12_13_9_11_8_16_1_5_10_3_4_6_14_15_2_7";"12389";"2";"32"
"3_9_7_16_6_4_8_15_13_11_5_14_2_10_1_12";"11618";"1";"32"
"5_12_13_2_16_10_6_1_7_4_14_11_9_15_3_8";"12337";"2";"32"
"11_14_7_16_2_5_9_4_1_3_10_6_15_12_13_8";"11688";"1";"32"
"14_2_3_8_12_4_9_13_6_15_10_11_5_1_7_16";"12781";"2";"32"
"1_5_4_15_9_2_16_13_8_12_14_6_11_3_7_10";"12198";"2";"32"
"4_6_7_11_15_16_5_14_8_12_3_13_2_9_1_10";"11689";"1";"32"
"6_13_5_16_11_10_7_3_9_14_12_4_15_8_2_1";"11950";"2";"32"
"11_6_15_8_9_7_2_12_16_4_10_5_13_1_3_14";"11644";"1";"32"
"13_6_8_14_4_12_16_3_11_5_10_1_15_7_9_2";"12351";"2";"32"
"11_14_8_7_12_3_10_2_15_1_13_5_6_4_9_16";"11683";"1";"32"
"11_2_5_7_15_14_3_16_13_10_6_1_4_8_9_12";"11953";"1";"32"
"6_10_7_12_14_13_5_4_15_1_2_3_8_11_9_16";"12761";"2";"32"
"9_10_16_4_3_7_5_13_14_6_2_12_1_15_8_11";"12208";"2";"32"
"11_7_9_5_3_4_6_10_13_16_1_15_2_14_8_12";"11736";"1";"32"
"2_3_7_11_10_1_5_15_9_4_16_13_12_8_14_6";"12091";"2";"32"
"16_15_12_10_7_13_2_3_1_5_11_4_9_6_14_8";"12437";"2";"32"
"2_14_12_10_6_8_9_16_5_15_3_4_11_7_1_13";"12156";"2";"32"
"1_8_4_2_13_16_11_12_3_10_14_9_6_7_5_15";"12120";"2";"32"
"14_5_9_3_2_15_8_16_1_7_13_12_4_6_10_11";"12405";"2";"32"
"4_10_2_5_16_13_1_7_3_9_11_14_12_6_8_15";"11926";"1";"32"
"6_8_3_12_1_4_11_2_9_14_10_7_16_5_13_15";"12340";"2";"32"
"6_12_2_5_15_7_13_16_4_1_9_14_11_3_8_10";"12656";"2";"32"
"6_7_16_4_5_14_12_11_15_10_13_3_1_8_9_2";"12295";"2";"32"
"8_2_10_5_16_11_12_7_14_1_15_3_9_4_6_13";"12753";"2";"32"
"4_11_16_1_15_10_5_9_8_6_13_12_3_7_2_14";"11717";"1";"32"
"5_11_8_6_12_7_16_14_15_4_9_3_13_10_1_2";"12384";"2";"32"
"12_2_10_9_4_1_13_16_15_7_3_6_8_5_14_11";"12232";"2";"32"
"15_2_8_10_3_16_13_6_12_7_9_5_11_1_14_4";"12809";"2";"32"
"2_16_3_4_15_12_10_9_11_14_7_8_6_13_5_1";"12556";"2";"32"
"16_11_3_10_9_8_15_6_14_4_2_7_1_12_13_5";"11953";"2";"32"
"3_14_16_12_11_9_5_7_13_10_1_15_4_8_2_6";"11654";"1";"32"
"6_13_5_14_15_1_11_3_8_4_12_9_10_2_16_7";"12231";"2";"32"
"14_3_13_11_7_15_4_16_5_6_2_10_9_1_12_8";"12149";"2";"32"
"1_6_11_3_12_15_16_7_8_9_10_14_4_2_13_5";"12096";"2";"32"
"3_11_8_1_10_9_15_4_16_2_5_7_14_13_12_6";"11724";"1";"32"
"6_5_14_9_4_15_12_10_2_3_1_8_11_13_7_16";"12255";"2";"32"
"16_8_14_5_4_6_7_12_1_9_11_10_15_2_3_13";"12280";"2";"32"
"5_15_9_13_11_7_2_14_12_16_3_10_1_4_6_8";"12347";"2";"32"
"1_13_12_3_2_9_15_4_5_8_14_6_16_10_7_11";"12459";"2";"32"
"13_7_15_3_16_11_14_8_6_1_4_5_9_10_12_2";"11793";"2";"32"
"3_13_14_5_6_10_16_12_11_2_8_9_15_1_4_7";"11744";"1";"32"
"10_3_13_9_7_2_8_12_6_15_1_4_14_16_5_11";"12319";"2";"32"
"9_13_12_15_8_7_14_11_2_6_3_10_4_1_16_5";"12156";"2";"32"
"2_6_16_15_5_7_1_12_8_13_10_3_4_14_9_11";"12292";"2";"32"
"9_4_15_2_14_3_10_11_12_1_8_16_6_7_13_5";"12416";"2";"32"
"11_15_4_12_3_7_9_1_8_5_10_2_13_6_16_14";"11671";"1";"32"
"10_14_4_5_6_2_11_16_12_7_13_15_9_1_8_3";"12698";"2";"32"
"7_15_13_10_9_16_5_8_12_4_6_11_2_14_3_1";"12190";"2";"32"
"9_1_16_11_3_4_7_12_5_2_6_14_13_15_8_10";"11977";"2";"32"
"12_10_9_14_5_11_16_4_3_13_15_8_1_7_2_6";"12516";"2";"32"
"14_12_7_10_4_2_3_1_9_16_6_15_5_13_11_8";"12615";"2";"32"
"9_4_14_13_2_10_8_5_6_12_7_16_3_1_11_15";"12449";"2";"32"
"4_1_13_10_8_11_16_5_15_14_7_2_3_6_12_9";"12087";"1";"32"
"15_6_16_10_9_3_7_12_2_11_5_1_13_4_8_14";"12502";"2";"32"
"3_10_4_5_8_2_16_14_1_6_11_7_9_13_15_12";"12013";"1";"32"
"15_12_2_13_11_14_6_10_3_8_5_7_9_1_16_4";"12761";"2";"32"
"11_3_16_9_7_4_6_13_10_2_8_5_1_14_15_12";"11673";"1";"32"
"4_6_5_11_1_15_3_10_7_12_8_9_2_14_16_13";"11700";"1";"32"
