"permutations";"#UUIDs";"#classes";"#clone_configs"
"10_12_6_3_16_1_4_14";"11341";"5";"60"
"2_13_3_4_5_1_8";"11130";"5";"48"
"1_15_14_11";"11105";"5";"29"
"5_1_13_14_6";"9374";"3";"27"
"2_1_9_6_12_15_3_8_7";"11329";"6";"60"
"1_3_12_15_9_2_11_7_13_16";"11355";"5";"73"
"11_16_4_5_13_12_1_14_7_8";"11213";"5";"77"
"1_3";"9243";"4";"13"
"6_11_1_2_10_12_16_15_3_8_13_5";"11268";"5";"85"
"13_11_15_6_3_9_14_5_2_4_1";"11212";"5";"78"
"1";"6020";"2";"4"
"9_10_3_11_14_12_8_1_16_7_15_13_6_4";"11543";"6";"103"
"2_12_1_7_15_3";"11293";"5";"43"
"3_1_6_4_5_13_7_8_14_11_16_2_12_9";"11547";"5";"102"
"5_12_1_14_9_4_13_15_6_2_3_11_10_8_7";"11184";"5";"107"
"1_3_7_14_4_13_16_5_2";"11378";"5";"63"
"1_4_11_14_13_10_15_3_16";"11414";"5";"68"
"14_13_10_1_9_7_8_4_2_15";"11267";"5";"62"
"5_6_10_14_11_15_1_12_4_2_13_9_8_3_16";"11377";"5";"107"
"2_4_12_1_15_14_8_11_7";"11363";"5";"67"
"6_2_13_15_3_9_12_10_7_16_4_1_8_5";"11318";"5";"96"
"14_7_2_9_13_1_11_8_12_6_10_16";"11244";"5";"80"
"1_5";"8834";"3";"10"
"1";"6020";"2";"4"
"1_3_7_9_14_5_6";"11252";"5";"46"
"1_13";"9232";"3";"10"
"5_12_9_14_13_16_1_15";"11177";"5";"55"
"14_1";"9260";"3";"10"
"2_10_7_1_6_9_3_11";"11166";"5";"52"
"1";"6020";"2";"4"
"13_12_16_1_2";"11129";"5";"33"
"13_16_5_3_14_8_12_4_1_9_7_15_2_11_6";"11191";"5";"109"
"8_1_12_4_11_5_9_3_14_6_2_10";"11171";"5";"86"
"9_13_1_15_6_3";"11097";"5";"39"
"1";"6020";"2";"4"
"8_4_13_7_1";"11056";"5";"34"
"13_6_2_4_1";"11103";"5";"31"
"7_6_9_2_1_4_11_3_14_13_15_16_12";"11298";"5";"96"
"1_12_5_7_13_2_11_15_3_14_8_9_4_10";"11375";"5";"101"
"1_15_8_4_16_13_14_9_11_6_5_7_12";"11178";"5";"95"
"12_2_14_13_1_7_6_9";"11383";"5";"51"
"15_11_6_8_1";"11134";"5";"34"
"6_2_9_7_1_12_10_16";"11363";"6";"49"
"11_3_15_4_6_8_16_13_5_1_12_7_9_14_10";"11219";"5";"110"
"15_1_11_7_9_12";"11092";"5";"45"
"1_8_4";"10002";"4";"18"
"13_5_1_15_8";"9807";"3";"27"
"1_3_10";"10482";"4";"17"
"6_10_7_9_13_12_1_4_5_3_2";"11402";"6";"76"
"8_1_2_10_5_12_3";"11228";"6";"47"
"9_5_16_1_8_2_7_3_14_11_13_4_6_10_15";"11266";"5";"103"
"5_1_16_4";"11113";"5";"28"
"1_2";"6538";"2";"8"
"15_3_1_11_2_6_13_10";"11164";"5";"54"
"8_4_12_2_16_3_1";"11123";"5";"52"
"2_10_3_1_4_5_15_7_14_11_13_9";"11565";"6";"84"
"16_12_9_14_6_7_2_4_11_10_15_1_13_5_8";"11225";"5";"104"
"12_5_1_4_14_7_2_15_13_3";"11174";"5";"74"
"3_1_10_13_11_7_8_9_14_5";"11439";"6";"69"
"7_1";"9251";"3";"10"
"14_15_8_16_1_11_7";"11152";"5";"49"
"6_1_2_13_11_9";"10940";"5";"37"
"2_12_10_1_16";"11226";"5";"31"
"5_8_15_2_6_13_1";"9857";"3";"36"
"1_8";"8666";"2";"8"
"15_11_5_1_12_10_13_9_4";"11129";"5";"67"
"5_7_2_8_12_10_1_16_9_3";"11199";"5";"66"
"11_14_12_4_2_13_8_5_9_10_15_1_3_6_7";"11241";"5";"107"
