permutations;#UUIDs;#classes;#clone_configs;Runtime ss;Memory Consuption
clone_model_0;6,68;1763607480;;;
clone_model_1;6,602;1184384112;;;
clone_model_2;7,094;472603256;;;
clone_model_3;6,937;1349288984;;;
clone_model_4;6,715;903162384;;;
clone_model_5;6,932;1096618240;;;
clone_model_6;6,926;1169380392;;;
clone_model_7;6,801;1300470072;;;
clone_model_8;6,931;713136736;;;
clone_model_9;6,741;756268744;;;
clone_model_10;6,545;430585920;;;
clone_model_11;6,674;881511688;;;
clone_model_12;6,805;1214860032;;;
clone_model_13;6,838;1524038464;;;
clone_model_14;6,95;1300575752;;;
clone_model_15;6,918;1374193704;;;
clone_model_16;6,723;1438093024;;;
clone_model_17;6,847;1133488024;;;
clone_model_18;6,734;1089107216;;;
clone_model_19;6,902;1557089744;;;
;6,821842105;1763607480;;;
