permutations;#UUIDs;#classes;#clone_configs;Runtime ss;Memory Consuption
clone_model_0;2,719;1259997792;;;
clone_model_1;2,725;1503807480;;;
clone_model_2;2,746;788860960;;;
clone_model_3;2,858;912597472;;;
clone_model_4;2,827;331211984;;;
clone_model_5;2,877;1033616408;;;
clone_model_6;2,927;728807160;;;
clone_model_7;2,864;596438160;;;
clone_model_8;2,702;1405153216;;;
clone_model_9;2,811;1208981760;;;
clone_model_10;2,651;753605168;;;
clone_model_11;2,682;1270032288;;;
clone_model_12;2,719;605636432;;;
clone_model_13;2,901;946881392;;;
clone_model_14;2,738;298086344;;;
clone_model_15;2,717;763307368;;;
clone_model_16;2,748;1199173296;;;
clone_model_17;2,73;349196120;;;
clone_model_18;2,66;755588360;;;
clone_model_19;2,785;1266805328;;;
;2,772;1503807480;;;
