"permutations";"#UUIDs";"#classes";"#clone_configs"
"8_1_16_2_15_7_13_5_9";"23440";"1";"54"
"1_15_4_14";"22716";"1";"24"
"16_6_15_1_5_11_7_2_3_12_9_10_4_8";"23491";"1";"84"
"7_5_2_1_13";"23384";"1";"30"
"11_1_16_2";"22729";"1";"24"
"5_3_8_1_15_10_2";"23508";"1";"42"
"11_15_4_14_8_6_5_1";"23571";"1";"48"
"11_12_9_1_8";"22935";"1";"30"
"15_9_4_14_5_6_2_1_7_12_3";"23621";"1";"66"
"8_1";"21147";"1";"12"
"1_14_15_2_11";"22928";"1";"30"
"5_2_10_1_8_11_13_7_16_14_3_12";"23576";"1";"72"
"1_4_12_6";"23274";"1";"24"
"1";"19912";"1";"6"
"9_4_8_12_5_14_1_15_6_16_3_2_10_13";"23539";"1";"84"
"14_6_7_4_1_8_2_5_11_16_15_3_12_9";"23624";"1";"84"
"15_7_16_2_9_3_5_11_6_8_10_1_12";"23600";"1";"78"
"10_13_12_9_7_3_11_14_2_1_16_8_15";"23444";"1";"78"
"5_11_6_7_12_15_1";"23571";"1";"42"
"1_14";"21334";"1";"12"
"14_15_2_7_16_1_10_3_13";"23549";"1";"54"
"3_11_9_1_14_10_16_12";"23486";"1";"48"
"1";"19912";"1";"6"
"7_15_3_16_11_14_9_4_2_13_10_6_8_1";"23492";"1";"84"
"14_1";"21334";"1";"12"
"10_15_13_14_3_1_8_12";"23266";"1";"48"
"3_11_2_1_14_8_13_15_7";"23464";"1";"54"
"1_8_2_14";"21849";"1";"24"
"1_16_11_4_13_2_10";"23252";"1";"42"
"9_1_15_3_7";"22717";"1";"30"
"13_14_2_1";"23036";"1";"24"
"2_15_8_1_16_5_9_4_14_12_10_7_13";"23491";"1";"78"
"6_10_1_7_3_5_9";"23438";"1";"42"
"15_12_11_7_3_9_4_13_6_14_5_10_1_8";"23554";"1";"84"
"9_5_15_12_11_1_2_3_8_10_6_7_13_14_16";"23649";"1";"90"
"6_4_1_9_8_7_5_15";"22721";"1";"48"
"1_3_6";"21478";"1";"18"
"7_4_15_5_16_1_8_9";"22854";"1";"48"
"4_9_5_14_7_16_3_6_13_12_1_15_10";"23647";"1";"78"
"9_6_11_2_1_7_5";"23508";"1";"42"
"1_6_10_8_9";"23435";"1";"30"
