permutations;#UUIDs;#classes;#clone_configs;Runtime ss;Memory Consuption
clone_model_0;3,767;519875080;;;
clone_model_1;4,06;1230541552;;;
clone_model_2;3,859;1270092208;;;
clone_model_3;3,775;1404524480;;;
clone_model_4;3,845;1477826632;;;
clone_model_5;3,818;1484276072;;;
clone_model_6;3,643;1343183512;;;
clone_model_7;3,819;1584841128;;;
clone_model_8;3,789;1072144848;;;
clone_model_9;3,92;1070179040;;;
clone_model_10;3,717;214287328;;;
clone_model_11;3,543;1315204824;;;
clone_model_12;3,843;1423138760;;;
clone_model_13;3,911;1350175296;;;
clone_model_14;3,96;1400183792;;;
clone_model_15;3,783;800380656;;;
clone_model_16;3,805;1218614624;;;
clone_model_17;3,978;179344432;;;
clone_model_18;3,886;1339052888;;;
clone_model_19;3,968;520215968;;;
;3,838;1584841128;;;
