permutations;#UUIDs;#classes;#clone_configs;Runtime ss;Memory Consuption
clone_model_0;4,756;839416088;;;
clone_model_1;4,786;1322156400;;;
clone_model_2;4,686;1060809176;;;
clone_model_3;4,72;1318204528;;;
clone_model_4;4,95;1245529296;;;
clone_model_5;4,775;858375952;;;
clone_model_6;4,79;896760296;;;
clone_model_7;4,896;1082144472;;;
clone_model_8;4,544;940992672;;;
clone_model_9;4,636;537615840;;;
clone_model_10;4,695;617973240;;;
clone_model_11;4,76;306559496;;;
clone_model_12;4,743;445962680;;;
clone_model_13;4,758;1260809168;;;
clone_model_14;4,77;510252696;;;
clone_model_15;4,735;998882800;;;
clone_model_16;4,881;1021753728;;;
clone_model_17;5,044;1204765008;;;
clone_model_18;4,886;1044303472;;;
clone_model_19;4,63;751392640;;;
;4,772894737;1322156400;;;
