"permutations";"#UUIDs";"#classes";"#clone_configs"
"13_3_15_10_9_1_12_7_6_8_4_11_5_14_2_16";"23999";"4";"172"
"2_8_10_6_14_16_15_9_11_7_3_1_4_12_5_13";"24080";"4";"172"
"8_1_15_11_5_16_10_4_7_6_3_13_12_9_14_2";"24144";"4";"172"
"9_13_4_8_11_6_1_15_3_16_5_12_14_10_2_7";"23332";"4";"172"
"12_5_15_1_10_9_16_8_11_6_14_3_2_13_4_7";"23311";"4";"172"
"14_15_1_12_6_3_5_9_16_4_11_7_8_2_13_10";"23912";"4";"172"
"8_4_3_6_16_2_9_13_10_15_11_12_5_1_7_14";"24378";"4";"172"
"7_16_12_5_2_13_4_11_3_8_14_10_6_1_9_15";"23200";"4";"172"
"13_8_15_11_14_7_5_4_1_9_16_3_2_12_6_10";"23780";"4";"172"
"10_9_2_13_4_5_11_6_8_7_16_3_1_15_14_12";"23831";"4";"172"
"10_16_7_9_11_3_8_12_15_4_1_13_2_6_5_14";"24077";"4";"172"
"5_1_11_15_14_16_10_12_4_2_6_13_9_3_7_8";"23461";"4";"172"
"6_9_12_4_5_7_15_8_2_16_13_10_11_3_1_14";"23534";"4";"172"
"7_13_3_12_10_14_15_4_11_9_2_8_5_16_1_6";"23924";"4";"172"
"2_16_9_13_3_7_12_4_14_5_8_15_6_10_11_1";"24017";"4";"172"
"12_2_8_9_10_3_5_14_15_7_16_6_4_11_1_13";"24056";"4";"172"
"1_7_9_14_10_3_11_16_12_15_13_5_4_6_2_8";"23926";"4";"172"
"16_3_11_7_10_4_15_13_2_8_9_14_5_1_6_12";"23791";"4";"172"
"12_10_2_8_9_11_15_6_7_4_13_16_1_5_14_3";"23822";"4";"172"
"3_11_15_7_5_6_10_9_16_1_2_14_4_12_8_13";"23926";"4";"172"
"15_11_12_10_13_4_1_14_16_2_6_3_7_5_9_8";"23781";"4";"172"
"10_14_2_6_5_8_7_9_11_13_4_1_12_16_3_15";"24202";"4";"172"
"3_5_1_2_15_9_6_10_16_7_14_12_8_11_4_13";"23961";"4";"172"
"3_8_15_9_6_1_10_5_13_11_12_7_4_14_2_16";"23849";"4";"172"
"8_1_6_2_13_15_14_9_12_10_7_16_11_3_4_5";"23801";"4";"172"
"14_13_4_8_11_12_2_5_16_9_15_7_6_1_10_3";"24188";"4";"172"
"9_4_3_7_6_8_16_12_1_5_14_2_11_13_10_15";"24068";"4";"172"
"15_10_7_6_8_4_2_9_13_1_3_11_16_5_14_12";"23703";"4";"172"
"2_12_4_6_5_9_16_8_13_7_3_1_15_11_14_10";"23139";"4";"172"
"3_4_16_1_2_13_9_5_11_15_14_6_12_8_7_10";"23908";"4";"172"
"7_4_10_6_12_16_1_14_9_2_8_5_11_3_13_15";"23176";"4";"172"
"4_13_2_10_9_8_14_5_11_1_6_12_3_15_7_16";"24124";"4";"172"
"12_8_5_13_14_9_10_15_16_6_11_3_2_7_1_4";"23174";"4";"172"
"3_5_11_2_4_1_16_13_6_10_8_15_9_14_7_12";"23865";"4";"172"
"7_5_12_16_9_3_2_1_15_11_8_14_6_10_13_4";"23322";"4";"172"
"14_1_7_10_13_3_4_16_11_9_5_6_2_12_8_15";"23992";"4";"172"
"11_4_5_6_16_10_14_15_3_13_8_2_9_1_7_12";"23949";"4";"172"
"11_9_6_5_7_10_2_16_12_1_3_14_13_4_8_15";"24065";"4";"172"
"6_15_13_9_5_16_2_4_10_12_8_3_11_14_7_1";"23724";"4";"172"
"13_7_1_12_10_16_3_9_4_11_2_8_6_5_15_14";"23858";"4";"172"
"10_8_3_12_16_11_13_4_7_2_5_14_1_15_9_6";"23914";"4";"172"
"5_13_10_6_16_12_4_11_3_7_15_14_8_2_1_9";"23800";"4";"172"
"5_12_4_14_8_10_7_15_11_6_1_9_3_2_16_13";"24106";"4";"172"
"13_6_1_3_16_9_4_15_2_7_5_14_11_12_10_8";"23713";"4";"172"
"12_3_1_11_15_14_4_9_10_13_7_16_6_2_8_5";"24021";"4";"172"
"2_1_8_3_9_14_4_5_6_12_16_13_7_11_10_15";"23910";"4";"172"
"16_14_10_9_3_5_15_12_11_7_1_2_4_6_8_13";"23921";"4";"172"
"1_16_11_9_12_4_14_13_7_6_15_10_5_8_3_2";"23984";"4";"172"
"2_10_11_14_3_16_13_4_1_6_8_12_9_5_7_15";"24002";"4";"172"
"6_14_12_16_9_10_8_13_3_11_15_5_2_7_1_4";"24291";"4";"172"
"4_9_11_16_14_1_13_2_3_8_15_10_6_12_7_5";"23898";"4";"172"
"9_5_11_4_6_10_12_15_3_8_16_13_1_14_2_7";"22845";"4";"172"
"16_14_11_7_9_1_8_13_2_3_5_15_10_4_12_6";"24014";"4";"172"
"12_2_14_15_7_4_3_1_16_11_13_10_5_9_8_6";"23687";"4";"172"
"7_11_13_15_2_8_14_4_9_6_5_3_10_12_16_1";"23826";"4";"172"
"16_7_3_5_10_6_4_15_2_12_14_8_11_13_1_9";"22995";"4";"172"
"1_11_16_6_10_3_2_8_5_4_14_15_12_13_9_7";"23913";"4";"172"
"9_11_10_14_7_6_12_1_8_4_3_2_15_5_16_13";"23793";"4";"172"
"4_10_16_3_15_9_5_12_7_6_1_13_2_8_14_11";"24139";"4";"172"
"13_1_11_16_3_15_7_10_5_6_2_14_8_9_12_4";"24130";"4";"172"
"10_2_9_16_11_1_15_14_4_7_5_6_13_12_8_3";"23744";"4";"172"
"14_6_11_1_5_4_9_15_7_2_8_16_12_13_10_3";"23921";"4";"172"
"2_3_4_5_13_7_14_1_8_12_10_15_16_6_11_9";"23816";"4";"172"
"2_1_7_6_16_5_11_15_14_12_3_9_10_4_8_13";"24105";"4";"172"
"12_9_2_1_5_11_4_13_6_14_3_7_16_15_8_10";"23860";"4";"172"
"10_3_12_13_16_11_1_4_8_2_6_14_9_5_7_15";"23897";"4";"172"
"14_7_2_10_9_13_16_11_12_8_1_3_6_5_4_15";"23928";"4";"172"
"14_15_13_8_10_12_16_5_6_1_9_4_2_11_3_7";"23926";"4";"172"
"9_7_15_11_16_1_5_12_6_3_14_4_2_8_13_10";"23936";"4";"172"
"2_4_10_11_9_16_15_8_3_5_13_1_12_14_6_7";"23332";"4";"172"
"2_10_8_9_15_16_11_7_12_5_14_4_1_6_3_13";"23954";"4";"172"
"2_4_7_3_1_5_6_10_9_12_11_15_14_8_13_16";"23873";"4";"172"
"13_7_3_8_10_11_4_9_15_16_14_6_12_1_5_2";"23919";"4";"172"
"14_1_5_16_4_6_7_10_9_2_8_13_3_11_12_15";"23927";"4";"172"
"14_9_12_4_13_10_15_5_1_11_3_16_7_8_6_2";"23851";"4";"172"
"11_6_8_2_4_13_9_7_3_10_16_1_12_5_14_15";"23921";"4";"172"
"14_8_12_13_7_11_16_2_5_1_6_10_4_3_9_15";"23801";"4";"172"
"10_3_4_8_9_5_14_13_16_15_7_12_6_2_1_11";"23073";"4";"172"
"15_5_7_1_2_10_13_16_11_8_6_9_4_12_14_3";"23772";"4";"172"
"13_5_12_1_10_9_11_4_8_2_6_14_3_15_7_16";"23925";"4";"172"
"3_8_5_10_16_15_6_4_14_2_11_7_12_1_13_9";"23901";"4";"172"
"8_15_4_5_7_13_3_10_12_2_9_6_11_1_16_14";"24104";"4";"172"
"12_15_1_8_16_13_4_3_14_2_11_6_10_9_5_7";"23788";"4";"172"
"3_7_10_5_16_1_9_4_6_12_13_15_14_2_8_11";"23871";"4";"172"
"1_5_4_2_8_11_15_12_10_9_7_16_3_13_14_6";"24193";"4";"172"
"2_11_3_8_12_9_5_10_15_1_13_14_7_6_4_16";"24083";"4";"172"
"14_16_3_13_11_4_10_7_12_9_6_1_8_2_5_15";"24136";"4";"172"
"14_10_11_15_1_12_16_8_9_3_7_5_4_13_6_2";"24001";"4";"172"
"1_9_12_8_11_5_15_13_3_16_14_6_4_10_7_2";"23256";"4";"172"
"14_1_2_6_9_5_15_12_16_13_11_4_10_3_7_8";"23942";"4";"172"
"4_13_12_10_16_6_14_15_2_11_9_5_3_1_8_7";"23946";"4";"172"
"11_13_3_2_10_8_7_12_16_6_9_15_14_1_5_4";"23723";"4";"172"
"16_14_2_7_5_4_3_12_1_9_13_10_11_6_15_8";"23868";"4";"172"
"2_7_14_16_5_6_8_12_4_15_11_13_1_10_3_9";"23216";"4";"172"
"10_1_8_11_13_5_9_14_7_4_6_15_2_3_12_16";"24134";"4";"172"
"16_9_8_12_14_10_13_4_6_5_7_1_2_3_11_15";"23827";"4";"172"
"13_3_7_8_16_1_15_14_2_5_12_10_4_11_9_6";"23849";"4";"172"
"1_2_7_3_13_11_8_4_16_15_6_12_14_9_10_5";"23729";"4";"172"
"10_4_9_7_14_12_16_11_2_3_13_5_6_8_1_15";"23966";"4";"172"
"10_14_2_7_15_3_13_12_8_4_9_11_6_16_1_5";"23906";"4";"172"
"13_9_1_3_11_6_16_2_15_12_10_14_4_5_8_7";"23881";"4";"172"
