permutations;#UUIDs;#classes;#clone_configs;Runtime ss;Memory Consuption
clone_model_0;0,36;402799064;;;
clone_model_1;0,358;525249288;;;
clone_model_2;0,361;681534480;;;
clone_model_3;0,362;144070072;;;
clone_model_4;0,39;289737288;;;
clone_model_5;0,578;277102096;;;
clone_model_6;0,375;407125872;;;
clone_model_7;0,379;322693832;;;
clone_model_8;0,36;221245672;;;
clone_model_9;0,358;947000720;;;
clone_model_10;0,357;758910608;;;
clone_model_11;0,351;585994304;;;
clone_model_12;0,382;374206056;;;
clone_model_13;0,363;1108993288;;;
clone_model_14;0,353;768369456;;;
clone_model_15;0,382;406785560;;;
clone_model_16;0,371;1132430208;;;
clone_model_17;0,354;627533104;;;
clone_model_18;0,359;196192744;;;
clone_model_19;0,362;915672248;;;
;0,376578947;1132430208;;;
