"permutations";"#UUIDs";"#classes";"#clone_configs"
"1";"18714";"4";"14"
"4_11_14_5_12_9_13_1_15_10_7_3_8_2";"23925";"4";"158"
"14_2_1_5";"22183";"4";"49"
"1";"18744";"4";"14"
"2_7_15_13_1_4_10_3_12";"22908";"4";"100"
"12_3_9_8_6_11_10_14_1_16";"23786";"4";"114"
"5_11_15_10_1_6_8_3_12_14";"23774";"4";"118"
"1_6_15";"21518";"4";"28"
"4_1";"20204";"4";"23"
"7_9_11_6_15_3_1_10_12";"23008";"4";"100"
"1_7_6_2_11_8_13_5";"23696";"4";"86"
"1_3";"19896";"4";"28"
"13_1_11";"21780";"4";"30"
"15_2_4_6_10_3_13_1";"22828";"4";"81"
"10_7_14_4_6_1_9_13_5_11";"23801";"4";"108"
"8_1_14_10_4_15_2_5_9_16_7_12_13";"23133";"4";"142"
"16_5_15_4_12_1_7_13_10_9_2_8_14_11";"22985";"4";"151"
"7_2_11_14_3_1_4_9";"23284";"4";"90"
"1_12_5_2_4_6_11";"22919";"4";"74"
"8_7_12_4_10_13_5_11_1_2_15_14_3_6";"23863";"4";"156"
"8_4_7_5_6_9_13_11_10_3_2_1";"23984";"4";"132"
"16_15_12_10_6_14_5_2_4_8_3_9_1_7";"23080";"4";"156"
"5_7_4_14_13_10_3_2_11_1_8_6_16";"23874";"4";"143"
"12_6_8_1_3_5";"22779";"4";"75"
"1_3";"19731";"4";"28"
"14_1_12_4_9_5_15";"23300";"4";"78"
"2_6_1_4_15_16_11_10_9_13";"22744";"4";"92"
"1_11_15_13_14_3_7_5";"23492";"4";"90"
"1_9";"21021";"4";"23"
"16_8_1_9_6_2_7_5";"22746";"4";"86"
"8_5_2_14_1_16_15_4_6";"22394";"4";"93"
"15_1";"20866";"4";"21"
"1_15_4_10_5_8_16";"23424";"4";"78"
"8_7_13_4_9_6_1_15_16";"23192";"4";"87"
"8_16_13_6_15_7_10_9_5_3_12_1_11";"23774";"4";"141"
"15_6_5_3_11_12_14_9_10_4_1_8_13_16";"24083";"4";"150"
"1_6_4_7_10_2_9_13_16";"23205";"4";"89"
"3_5_10_2_15_4_1_14_8";"23727";"4";"107"
"6_2_9_1";"21553";"4";"39"
"12_15_2_11_1_9_6";"23146";"4";"68"
"1_12_3_6";"23206";"4";"48"
"14_15_5_16_11_1_3_4_2_10";"23896";"4";"109"
"1_5";"19888";"4";"27"
"1";"18615";"4";"14"
"1_13_10_2_16_5_15_14_7_6_11_12_3_8";"23670";"4";"154"
"11_16_15_9_8_10_3_4_13_12_1_6";"23521";"4";"124"
"11_10_12_5_1_6_3_9";"23157";"4";"93"
"10_1_13_12_9_7_14_16_11_4_8_5_2_15";"23050";"4";"151"
"16_5_8_2_1_7_15_9_11_13";"23828";"4";"102"
"5_16_1_9_7_12_13_10";"23770";"4";"90"
"7_10_11_14_2_15_1_16_4_8_6_3_9";"23914";"4";"139"
"7_12_16_15_9_10_6_1_3_5_13_14";"23696";"4";"131"
"10_5_8_6_2_11_14_16_7_9_15_4_13_1";"23359";"4";"145"
"2_12_1_13";"22167";"4";"43"
"1";"18763";"4";"14"
"15_16_4_2_3_8_11_10_1_7_9_12";"23845";"4";"132"
"9_1_4_2_10_6_13_14_8_3_11_12_5";"23670";"4";"145"
"10_6_13_8_4_14_1_3_12_5_15_16_9";"23537";"4";"141"
"1_13_15_16_9_12_8_6_10_3_7";"23668";"4";"119"
"1_15";"20791";"4";"21"
"1";"18746";"4";"14"
"16_11_1_12_9";"22844";"4";"52"
"7_2_14_15_1_4_12_9_8_5_16_11";"23825";"4";"130"
"6_1_15_11_3_16";"23363";"4";"58"
"3_2_7_9_4_14_1_11_16_8_15";"24054";"4";"118"
"1_14";"20799";"4";"27"
"4_10_12_1_16_11_13";"22866";"4";"73"
"1_10_12";"21776";"4";"41"
"8_1_10_16_3";"23126";"4";"63"
"15_1_5_9_6_8";"22394";"4";"64"
"9_5_15_11_1_12_4_13";"23073";"4";"81"
"1_14";"20419";"4";"27"
"1_11_8_14_5_9_3";"23042";"4";"86"
"4_8_1_7_11_14_10_2_9";"23156";"4";"104"
"8_4_15_1_5_10_11_14_3_7_12";"24061";"4";"133"
"16_4_13_6_9_10_5_1";"23189";"4";"80"
"12_3_2_1";"22789";"4";"50"
"13_9_5_1_10_15_2_14_4_3_8_6_16_11";"23771";"4";"146"
"4_3_14_7_9_11_6_16_15_8_1";"22725";"4";"116"
"5_1_7_4_11_8_13_6_9_2";"23534";"4";"104"
"10_15_13_11_12_4_16_6_14_8_7_1";"23731";"4";"127"
"16_13_8_1_11_2_6_4_3_14_12_7";"23781";"4";"129"
"15_1_9";"21040";"4";"30"
"9_2_1_4_3_13_8_10_15_7";"23137";"4";"110"
"14_1_3_6_12_7_5_8_2_11_4";"22856";"4";"128"
"2_4_1_9_10_15_13_12_11_7_14_3_8";"23741";"4";"145"
"2_5_13_6_12_1_15_16_8_14_11_7_9_4_10";"23880";"4";"158"
"11_4_1_7_9_6_12_8_14_15_16_10_3";"23473";"4";"143"
"11_10_12_5_1_3";"23265";"4";"77"
"8_1_9_7_5_2_13_14";"23304";"4";"92"
"1_16";"19319";"4";"21"
"1_7_14_8_16";"20936";"4";"61"
"1";"18754";"4";"14"
"7_13_10_9_3_1_16_5_11_4_12_14_15_2_6";"23146";"4";"158"
"1";"18711";"4";"14"
"1";"18677";"4";"14"
"6_3_10_5_9_15_16_1_13";"23156";"4";"92"
"6_5_3_14_4_7_1_13";"23561";"4";"90"
"8_12_5_10_13_14_9_2_4_3_1_15_11";"23886";"4";"145"
