"permutations";"#UUIDs";"#classes";"#clone_configs";"Runtime ss";"Memory Consuption"
"clone_model_0";"00,754";"519856848"
"clone_model_1";"00,749";"900450760"
"clone_model_2";"00,719";"1248153576"
"clone_model_3";"00,769";"496942632"
"clone_model_4";"00,735";"729001584"
"clone_model_5";"00,725";"997015808"
"clone_model_6";"00,699";"1320326048"
"clone_model_7";"00,743";"497643208"
"clone_model_8";"00,725";"685161376"
"clone_model_9";"00,701";"921053840"
"clone_model_10";"00,715";"1202036648"
"clone_model_11";"00,740";"340882176"
"clone_model_12";"00,723";"539758680"
"clone_model_13";"00,710";"761482248"
"clone_model_14";"00,699";"1024427688"
"clone_model_15";"00,699";"1271769952"
"clone_model_16";"00,739";"300469464"
"clone_model_17";"00,751";"560106808"
"clone_model_18";"00,726";"795437128"
"clone_model_19";"00,725";"994179224"
