"permutations";"#UUIDs";"#classes";"#clone_configs"
"11_5_10_14_16_8_2_1_12_4_13_9_15_6_7_3";"23603";"1";"96"
"15_4_1_16_5_12_6_7_9_14_10_11_13_3_8_2";"23517";"1";"96"
"13_14_1_12_6_8_3_11_15_9_5_2_10_4_7_16";"23447";"1";"96"
"6_9_11_4_3_7_12_14_1_13_8_16_2_10_15_5";"23517";"1";"96"
"12_1_3_10_6_9_11_5_14_2_16_15_8_13_4_7";"23447";"1";"96"
"4_14_9_8_2_15_11_10_12_6_5_3_7_16_13_1";"23650";"1";"96"
"11_2_4_13_1_8_12_7_3_15_9_5_16_10_14_6";"23447";"1";"96"
"1_12_10_4_3_6_5_13_2_9_11_8_7_16_14_15";"23471";"1";"96"
"16_4_9_6_13_3_14_15_10_2_12_8_11_7_1_5";"23493";"1";"96"
"8_4_6_9_7_3_16_10_2_5_12_14_11_1_13_15";"23517";"1";"96"
"7_1_3_10_16_12_13_4_9_2_14_8_6_11_15_5";"23447";"1";"96"
"7_16_5_10_12_14_15_8_1_9_13_2_11_3_4_6";"23447";"1";"96"
"1_3_16_12_4_15_11_7_13_5_9_14_10_6_2_8";"23447";"1";"96"
"12_6_1_4_5_9_8_16_7_10_13_14_11_15_2_3";"23447";"1";"96"
"14_11_4_2_7_5_12_13_3_15_8_1_16_9_6_10";"23603";"1";"96"
"8_7_5_9_16_14_2_13_10_4_3_6_15_12_1_11";"23518";"1";"96"
"5_9_2_7_8_11_3_1_16_10_4_13_6_12_15_14";"23650";"1";"96"
"4_16_3_12_11_6_13_10_1_14_5_8_15_7_9_2";"23447";"1";"96"
"14_3_10_15_2_9_16_11_4_12_1_5_13_7_8_6";"23517";"1";"96"
"6_11_2_3_12_9_5_8_16_10_13_15_4_14_1_7";"23447";"1";"96"
"4_10_13_16_15_11_2_5_14_1_6_12_3_7_8_9";"23447";"1";"96"
"9_2_16_7_8_12_4_15_1_6_3_13_11_10_5_14";"23556";"1";"96"
"10_9_8_5_6_3_12_16_1_15_11_2_4_14_7_13";"23494";"1";"96"
"12_10_6_16_14_2_15_11_5_1_8_4_7_9_13_3";"23447";"1";"96"
"14_2_5_7_11_8_4_15_13_10_3_1_9_12_16_6";"23627";"1";"96"
"10_12_13_5_1_15_3_11_16_2_6_14_7_9_4_8";"23447";"1";"96"
"13_9_12_14_3_2_4_7_10_6_16_1_15_11_8_5";"23579";"1";"96"
"8_9_4_14_7_3_12_10_5_6_13_16_15_11_1_2";"23541";"1";"96"
"6_2_3_7_5_12_14_16_15_10_8_11_9_1_4_13";"23447";"1";"96"
"14_1_6_3_15_16_8_4_2_5_10_12_11_13_7_9";"23494";"1";"96"
"10_1_7_8_11_4_9_12_2_14_3_6_16_13_15_5";"23471";"1";"96"
"5_1_2_16_12_3_11_15_8_4_14_7_9_13_6_10";"23471";"1";"96"
"3_15_12_16_6_8_10_5_13_14_1_4_2_11_7_9";"23517";"1";"96"
"13_12_15_10_4_6_7_16_2_9_8_14_1_11_3_5";"23470";"1";"96"
"8_13_1_12_3_11_5_10_15_6_14_4_7_2_16_9";"23447";"1";"96"
"9_4_16_6_1_5_10_7_3_11_14_8_13_2_12_15";"23517";"1";"96"
"1_15_7_3_6_10_16_2_14_8_13_5_4_12_9_11";"23494";"1";"96"
"7_3_16_14_5_8_1_4_10_13_11_2_15_12_6_9";"23493";"1";"96"
"5_9_1_10_8_13_4_16_7_14_15_11_2_6_3_12";"23650";"1";"96"
"4_15_9_7_16_14_11_8_10_3_6_13_5_1_2_12";"23626";"1";"96"
"3_16_5_9_2_14_1_13_8_7_4_12_15_10_11_6";"23493";"1";"96"
"13_8_1_16_12_10_6_7_4_14_11_3_15_2_9_5";"23447";"1";"96"
"11_9_3_5_15_14_2_6_1_7_10_13_16_8_12_4";"23494";"1";"96"
"7_15_6_8_5_14_1_12_2_10_11_9_13_3_4_16";"23494";"1";"96"
"9_12_15_7_3_16_6_11_10_13_2_4_1_5_14_8";"23580";"1";"96"
"12_4_1_10_9_16_5_6_13_14_3_2_11_8_15_7";"23580";"1";"96"
"12_11_8_3_1_7_14_16_9_15_13_6_2_10_4_5";"23603";"1";"96"
"7_13_16_11_4_1_5_2_6_12_3_14_15_8_10_9";"23556";"1";"96"
"6_8_4_12_1_16_7_13_15_14_5_9_10_2_11_3";"23517";"1";"96"
"7_5_2_4_3_11_9_10_16_12_15_14_1_8_6_13";"23580";"1";"96"
"5_14_8_16_1_3_13_2_4_11_15_7_10_6_12_9";"23517";"1";"96"
"10_9_16_12_13_8_6_14_3_2_4_11_5_1_15_7";"23447";"1";"96"
"9_6_5_3_8_4_14_12_2_7_15_13_16_11_10_1";"23626";"1";"96"
"13_14_6_3_2_5_11_16_12_10_4_15_1_8_9_7";"23470";"1";"96"
"7_9_14_13_10_11_1_2_12_8_4_15_6_5_16_3";"23580";"1";"96"
"5_14_7_3_10_11_6_8_2_15_1_9_12_13_4_16";"23541";"1";"96"
"4_9_15_1_11_7_3_12_2_10_14_13_16_5_6_8";"23517";"1";"96"
"16_7_10_4_2_6_14_11_3_12_5_15_9_1_8_13";"23447";"1";"96"
"5_14_11_15_9_16_7_1_13_8_12_2_10_6_4_3";"23650";"1";"96"
"13_1_2_14_5_6_4_16_7_8_3_15_12_11_10_9";"23447";"1";"96"
"2_13_15_6_7_16_4_5_14_11_8_1_9_12_10_3";"23556";"1";"96"
"7_4_13_10_16_11_3_5_14_2_6_9_12_8_1_15";"23580";"1";"96"
"1_12_15_3_2_4_11_6_5_14_10_9_8_16_13_7";"23447";"1";"96"
"7_10_13_9_3_12_11_14_6_1_16_2_5_15_8_4";"23447";"1";"96"
"11_5_13_16_14_7_10_2_1_12_4_15_6_3_9_8";"23580";"1";"96"
"12_3_1_2_9_11_15_16_5_8_6_10_14_4_7_13";"23471";"1";"96"
"4_1_13_6_7_16_14_15_9_11_2_10_12_5_8_3";"23447";"1";"96"
